Student ID,Name,Course,Year,Semester,Gender,Age,Caste,Family Income,Internal Marks,Theory Marks,Practical Marks,Backlogs,Fees Paid,Fees Payment Date,Scholarship Received,Teacher Rating,Teacher Feedback,Library Usage,Medical History Reported,Disciplinary Action,Academic Year,Attendance %,Assignment Submission Rate,Class Participation,Late Submissions,LMS Login Count,Video Lectures Watched,Forum Participation,Study Hours/Week,Assignment Completion Time (Avg),Parental Education,Internet Availability at Home,Stress Level,Mental Health Score,Counselling Opted,Clubs Joined,Events Participation,Volunteer Activities,Enrollment Status
25IT01,Jerry Davenport,BSc-IT,FY,1,Female,23,General,272017,25,52,34,2,39481,2025-05-12,Yes,3.9,Station see number thank rest board.,21,No,No,2022-2025,57.04,75.15,4.42,4,49,50,16,1.6,4.7,None,Yes,Low,4,No,1,5,Yes,Active
25IT02,John Browning,BSc-IT,FY,1,Male,21,ST,714537,24,56,34,0,41922,2025-01-31,Yes,4.0,Service stock black fire month respond certainly.,33,No,Yes,2023-2025,96.12,64.42,2.27,4,155,32,14,2.1,2.7,School,Yes,High,10,Yes,3,1,Yes,Dropped Out
25IT03,Tracy Arnold,BSc-IT,FY,2,Other,23,General,516331,22,58,20,0,44945,2025-02-19,No,3.4,By detail recognize star feeling.,27,Yes,Yes,2022-2026,95.73,63.83,2.47,3,133,19,9,4.9,4.9,School,Yes,Medium,6,No,3,3,Yes,Active
25IT04,Melinda Welch,BSc-IT,FY,1,Other,18,ST,367203,23,64,50,2,32744,2025-01-25,Yes,3.2,American life call only.,17,Yes,Yes,2022-2026,99.4,63.77,4.95,3,102,30,14,4.6,5.0,UG,No,Medium,5,No,0,4,No,Dropped Out
25IT05,Kelly Romero,BSc-IT,FY,2,Other,21,OBC,391825,21,61,23,3,25300,2025-07-17,Yes,3.9,Report ok beautiful get.,16,Yes,No,2022-2025,55.71,74.72,1.08,2,80,12,7,8.3,2.2,UG,No,Low,6,No,1,2,Yes,Dropped Out
25IT06,Heather Gray,BSc-IT,FY,1,Male,20,ST,596247,28,52,32,3,29152,2025-03-14,No,3.1,Improve method heavy order fear hot wide.,3,No,No,2022-2025,51.61,74.75,1.13,0,69,18,17,2.8,4.0,None,Yes,Low,7,No,1,5,Yes,Graduated
25IT07,Jacob Ferguson,BSc-IT,FY,1,Male,19,ST,652454,24,37,38,2,43415,2025-05-13,No,4.1,Raise value easy prevent size.,11,Yes,No,2023-2025,87.38,86.72,4.85,1,51,44,4,5.3,1.0,None,Yes,Low,5,Yes,0,1,Yes,Graduated
25IT08,Jared Smith,BSc-IT,FY,1,Other,18,SC,367982,23,46,26,2,38675,2025-05-04,No,3.4,Lot grow sister treatment eat.,20,Yes,No,2024-2026,65.27,96.2,3.92,1,73,32,5,1.6,2.5,School,Yes,Medium,4,Yes,1,0,Yes,Dropped Out
25IT09,Amy Martinez,BSc-IT,FY,1,Male,23,General,328450,26,37,22,1,45086,2025-02-14,Yes,3.5,Recent kitchen name positive crime.,26,Yes,No,2024-2026,61.59,68.71,1.99,1,53,23,14,7.8,3.7,None,Yes,Medium,1,Yes,1,4,No,Dropped Out
25IT10,Jeffrey Sanders,BSc-IT,FY,2,Female,18,ST,983332,29,57,33,0,30085,2025-05-15,No,3.2,Anyone able before memory fire.,46,Yes,Yes,2022-2026,58.45,74.28,4.01,3,13,9,1,5.8,4.5,None,Yes,Medium,4,No,0,1,No,Active
